station_id,station_name,longitude,latitude
1,"River Street, Clerkenwell",-0.109971,51.5292
2,"Phillimore Gardens, Kensington",-0.197574,51.4996
3,"Christopher Street, Liverpool Street",-0.0846057,51.5213
4,"St. Chad's Street, King's Cross",-0.120974,51.5301
5,"Sedding Street, Sloane Square",-0.156876,51.4931
6,"Broadcasting House, Marylebone",-0.144229,51.5181
7,"Charlbert Street, St. John's Wood",-0.168074,51.5343
8,"Maida Vale, Maida Vale",-0.18348599999999998,51.529857
9,"New Globe Walk, Bankside",-0.09644080000000001,51.5074
10,"Park Street, Bankside",-0.0927542,51.506
11,"Brunswick Square, Bloomsbury",-0.122502,51.523999999999994
12,"Malet Street, Bloomsbury",-0.130432,51.5217
13,"Scala Street, Fitzrovia",-0.13604000000000002,51.5199
14,"Belgrove Street, King's Cross",-0.123617,51.5299
15,"Great Russell Street, Bloomsbury",-0.127854,51.5177
16,"Cartwright Gardens, Bloomsbury",-0.125979,51.5264
17,"Hatton Wall, Holborn",-0.10900599999999999,51.5217
18,"Drury Lane, Covent Garden",-0.12222000000000001,51.5148
19,"Taviton Street, Bloomsbury",-0.131161,51.5251
20,"Drummond Street, Euston",-0.135273,51.5277
21,"Hampstead Road (Cartmel), Euston",-0.138846,51.5301
22,"Northington Street, Holborn",-0.114079,51.5223
23,"Red Lion Square, Holborn",-0.119123,51.5194
24,"British Museum, Bloomsbury",-0.124678,51.5191
25,"Doric Way, Somers Town",-0.13225,51.5288
26,"Ampton Street, Clerkenwell",-0.11829500000000001,51.5273
27,"Bouverie Street, Temple",-0.107928,51.5138
28,"Bolsover Street, Fitzrovia",-0.14361400000000002,51.5235
29,"Hereford Road, Bayswater",-0.193487,51.5137
30,"Windsor Terrace, Hoxton",-0.09342160000000001,51.5292
31,"Fanshaw Street, Hoxton",-0.0833533,51.5295
32,"Leonard Circus, Shoreditch",-0.08443930000000001,51.5247
33,"Central House, Aldgate",-0.0678275,51.5168
34,"Pancras Road, King's Cross",-0.129387,51.5341
36,"De Vere Gardens, Kensington",-0.184981,51.5017
37,"Penywern Road, Earl's Court",-0.192369,51.4916
38,"Abingdon Villas, Kensington",-0.197246,51.4974
39,"Shoreditch High Street, Shoreditch",-0.0781309,51.5264
40,"Commercial Street, Shoreditch",-0.0755789,51.5213
41,"Pindar Street, Liverpool Street",-0.08391119999999999,51.52
42,"Wenlock Road, Hoxton",-0.0939038,51.531000000000006
43,"Crawford Street, Marylebone",-0.157184,51.5203
44,"Bruton Street, Mayfair",-0.14416500000000002,51.5107
45,"Boston Place, Marylebone",-0.162298,51.5225
46,"Nesham Street, Wapping",-0.06691,51.5071
47,"Warwick Avenue Station, Maida Vale",-0.183846,51.5233
48,"Godliman Street, St. Paul's",-0.0991414,51.5125
49,"Curzon Street, Mayfair",-0.145904,51.5071
50,"East Road, Hoxton",-0.08745939999999999,51.5287
51,"Finsbury Library, Finsbury",-0.104298,51.5267
52,"Roscoe Street, St. Luke's",-0.09493489999999999,51.523
53,"Grafton Street, Mayfair",-0.143495,51.51
54,"Golden Lane, Barbican",-0.0944751,51.5217
55,"Finsbury Circus, Liverpool Street",-0.0866855,51.5171
56,"Paddington Street, Marylebone",-0.154701,51.5206
57,"Guilford Street, Bloomsbury",-0.12020299999999999,51.5233
58,"New Inn Yard, Shoreditch",-0.07924810000000002,51.5245
59,"Rodney Street, Angel",-0.114329,51.5318
60,"Lisson Grove, St. John's Wood",-0.172191,51.5264
61,"Great Dover Street, The Borough",-0.0894469,51.4974
62,"Cotton Garden Estate, Kennington",-0.106324,51.4908
63,"Murray Grove, Hoxton",-0.0897826,51.5309
64,"William IV Street, Strand",-0.124749,51.5095
65,"Gower Place, Euston",-0.135189,51.5252
66,"Holborn Circus, Holborn",-0.10865699999999999,51.518
67,"Hatton Garden, Holborn",-0.108028,51.5188
68,"Theobald's Road, Holborn",-0.11668800000000001,51.5206
69,"Euston Road, Euston",-0.134408,51.5262
70,"Calshot Street, King's Cross",-0.11707000000000001,51.5314
71,"Newgate Street, St. Paul's",-0.09885089999999999,51.5154
72,"Farringdon Lane, Clerkenwell",-0.10834,51.5235
73,"Old Street Station, St. Luke's",-0.0884862,51.5257
74,"Vauxhall Cross, Vauxhall",-0.12447000000000001,51.4859
75,"Torrens Street, Angel",-0.10548099999999999,51.5322
76,"Longford Street, The Regent's Park",-0.144084,51.5256
77,"Russell Square Station, Bloomsbury",-0.124122,51.5234
78,"Sadlers Sports Centre, Finsbury",-0.0994895,51.5249
79,"Arundel Street, Temple",-0.0971465,51.4912
80,"Webber Street, Southwark",-0.102091,51.5007
81,"Great Titchfield Street, Fitzrovia",-0.141327,51.5203
82,"Chancery Lane, Holborn",-0.111257,51.5143
83,"Panton Street, West End",-0.131511,51.5096
84,"Breams Buildings, Holborn",-0.111778,51.5159
85,"Tanner Street, Bermondsey",-0.07860039999999999,51.5006
86,"Sancroft Street, Vauxhall",-0.115157,51.4895
87,"Devonshire Square, Liverpool Street",-0.0796846,51.5165
88,"Bayley Street, Bloomsbury",-0.132053,51.5186
89,"Tavistock Place, Bloomsbury",-0.12351,51.5263
90,"Harrington Square 1, Camden Town",-0.139175,51.533
91,"Walnut Tree Walk, Vauxhall",-0.111015,51.4937
92,"Borough Road, Elephant & Castle",-0.100441,51.4989
93,"Cloudesley Road, Angel",-0.109025,51.5344
94,"Bricklayers Arms, Borough",-0.0858145,51.4951
95,"Aldersgate Street, Barbican",-0.09734019999999999,51.5208
96,"Falkirk Street, Hoxton",-0.0785054,51.531000000000006
97,"Gloucester Road (North), Kensington",-0.183835,51.4979
98,"Hampstead Road, Euston",-0.138231,51.5255
99,"Old Quebec Street, Marylebone",-0.15826400000000002,51.5146
100,"Albert Embankment, Vauxhall",-0.122807,51.4904
101,"Queen Street 1, Bank",-0.09294010000000001,51.5116
102,"Jewry Street, Aldgate",-0.0767934,51.5134
103,"Vicarage Gate, Kensington",-0.19253900000000002,51.5047
104,"Crosswall, Tower",-0.0771213,51.5116
105,"Westbourne Grove, Bayswater",-0.19024100000000002,51.5155
106,"Woodstock Street, Mayfair",-0.147302,51.5141
107,"Finsbury Leisure Centre, St. Luke's",-0.0963176,51.526
108,"Abbey Orchard Street, Westminster",-0.132102,51.4981
109,"Soho Square, Soho",-0.132329,51.5156
110,"Wellington Road, St. John's Wood",-0.172529,51.533
111,"Park Lane, Hyde Park",-0.157276,51.51
112,"Stonecutter Street, Holborn",-0.10527,51.5158
113,"Gloucester Road (Central), South Kensington",-0.183289,51.4965
