iata,name,latitude,longitude,start_station_id,start_station_name,Date
00M,Thigpen,31.95376472,-89.23450472,633,"Vereker Road North, West Kensington",2016-12-28
00R,Livingston Municipal,30.68586111,-95.01792778,633,"Vereker Road, West Kensington",2017-08-24
00V,Meadow Lake,38.94574889,-104.5698933,633,"Vereker Road, West Kensington",2020-07-20
01G,Perry-Warsaw,42.74134667,-78.05208056,633,"Vereker Road, West Kensington",2020-07-18
01J,Hilliard Airpark,30.6880125,-81.90594389,633,"Vereker Road, West Kensington",2019-06-03
01M,Tishomingo County,34.49166667,-88.20111111,633,"Vereker Road, West Kensington",2017-08-29
02A,Gragg-Wade,32.85048667,-86.61145333,633,"Vereker Road, West Kensington",2017-10-15
02C,Capitol,43.08751,-88.17786917,633,"Vereker Road, West Kensington",2017-06-12
02G,Columbiana County,40.67331278,-80.64140639,633,"Vereker Road, West Kensington",2019-06-29
03D,Memphis Memorial,40.44725889,-92.22696056,633,"Vereker Road, West Kensington",2018-01-07
04M,Calhoun County,33.93011222,-89.34285194,633,"Vereker Road, West Kensington",2020-07-08
04Y,Hawley Municipal,46.88384889,-96.35089861,633,"Vereker Road, West Kensington",2018-05-05
05C,Griffith-Merrillville,41.51961917,-87.40109333,633,"Vereker Road, West Kensington",2018-06-17
05F,Gatesville - City/County,31.42127556,-97.79696778,633,"Vereker Road, West Kensington",2018-12-13
05U,Eureka,39.60416667,-116.0050597,633,"Vereker Road, West Kensington",2019-06-22
06A,Moton  Municipal,32.46047167,-85.68003611,633,"Vereker Road, West Kensington",2018-02-05
06C,Schaumburg,41.98934083,-88.10124278,633,"Vereker Road, West Kensington",2018-10-19
06D,Rolla Municipal,48.88434111,-99.62087694,633,"Vereker Road, West Kensington",2020-02-18
06M,Eupora Municipal,33.53456583,-89.31256917,633,"Vereker Road, West Kensington",2019-10-31
06N,Randall,41.43156583,-74.39191722,633,"Vereker Road, West Kensington",2017-08-03
06U,Jackpot/Hayden,41.97602222,-114.6580911,633,"Vereker Road, West Kensington",2018-06-22
07C,Dekalb County,41.30716667,-85.06433333,633,"Vereker Road, West Kensington",2017-03-28
07F,Gladewater Municipal,32.52883861,-94.97174556,633,"Vereker Road, West Kensington",2017-06-01
07G,Fitch H Beach,42.57450861,-84.81143139,633,"Vereker Road, West Kensington",2017-10-21
07K,Central City Municipal,41.11668056,-98.05033639,633,"Vereker Road, West Kensington",2019-05-27
08A,Wetumpka Municipal,32.52943944,-86.32822139,633,"Vereker Road, West Kensington",2019-11-14
08D,Stanley Municipal,48.30079861,-102.4063514,633,"Vereker Road, West Kensington",2020-07-29
08K,Harvard State,40.65138528,-98.07978667,633,"Vereker Road, West Kensington",2017-02-11
08M,Carthage-Leake County,32.76124611,-89.53007139,633,"Vereker Road, West Kensington",2018-09-26
09A,Butler-Choctaw County,32.11931306,-88.1274625,633,"Vereker Road, West Kensington",2020-07-23
09J,Jekyll Island,31.07447222,-81.42777778,633,"Vereker Road, West Kensington",2020-08-01
09K,Sargent Municipal,41.63695083,-99.34038139,633,"Vereker Road North, West Kensington",2017-01-04
09M,Charleston Municipal,33.99150222,-90.078145,633,"Vereker Road, West Kensington",2017-06-24
09W,South Capitol Street,38.86872333,-77.00747583,633,"Vereker Road, West Kensington",2018-11-30
0A3,Smithville Municipal,35.98531194,-85.80931806,633,"Vereker Road, West Kensington",2018-12-11
0A8,Bibb County,32.93679056,-87.08888306,633,"Vereker Road, West Kensington",2017-05-20
0A9,Elizabethton Municipal,36.37094306,-82.17374111,633,"Vereker Road, West Kensington",2017-05-27
0AK,Pilot Station,61.93396417,-162.8929358,633,"Vereker Road, West Kensington",2017-09-01
0B1,Col. Dyke,44.42506444,-70.80784778,633,"Vereker Road, West Kensington",2018-04-07
0B4,Hartington Municipal,42.60355556,-97.25263889,633,"Vereker Road, West Kensington",2018-04-20
0B5,Turners Falls,42.59136361,-72.52275472,633,"Vereker Road, West Kensington",2019-09-15
0B7,Warren-Sugar Bush,44.11672722,-72.82705806,633,"Vereker Road, West Kensington",2019-12-04
0B8,Elizabeth,41.25130806,-72.03161139,633,"Vereker Road, West Kensington",2019-12-31
0C0,Dacy,42.40418556,-88.63343222,633,"Vereker Road, West Kensington",2020-01-18
0C4,Pender Municipal,42.11388722,-96.72892556,633,"Vereker Road, West Kensington",2020-06-07
0D1,South Haven Municipal,42.35083333,-86.25613889,633,"Vereker Road, West Kensington",2017-10-09
0D8,Gettysburg Municipal,44.98730556,-99.9535,633,"Vereker Road, West Kensington",2018-06-15
0E0,Moriarty,34.98560639,-106.0094661,633,"Vereker Road, West Kensington",2018-10-10
0E8,Crownpoint,35.71765889,-108.2015961,633,"Vereker Road, West Kensington",2018-10-11
0F2,Bowie Municipal,33.60166667,-97.77556,633,"Vereker Road, West Kensington",2019-03-04
0F4,Loup City Municipal,41.29028694,-98.99064278,633,"Vereker Road, West Kensington",2019-05-23
0F7,Fountainhead Lodge Airpark,35.38898833,-95.60165111,633,"Vereker Road, West Kensington",2019-10-09
0F8,William R Pogue Municipal,36.17528,-96.15181028,633,"Vereker Road, West Kensington",2020-05-22
0F9,Tishomingo Airpark,34.19592833,-96.67555694,633,"Vereker Road, West Kensington",2018-04-12
0G0,North Buffalo Suburban,43.10318389,-78.70334583,633,"Vereker Road, West Kensington",2018-06-05
0G3,Tecumseh Municipal,40.39944417,-96.17139694,633,"Vereker Road, West Kensington",2020-06-05
0G6,Williams County,41.46736111,-84.50655556,633,"Vereker Road, West Kensington",2019-10-05
0G7,Finger Lakes Regional,42.88062278,-76.78162028,633,"Vereker Road, West Kensington",2020-08-27
0H1,Trego Wakeeney,39.0044525,-99.89289917,633,"Vereker Road, West Kensington",2018-01-13
0I8,Cynthiana-Harrison County,38.36674167,-84.28410056,633,"Vereker Road, West Kensington",2017-09-16
0J0,Abbeville Municipal,31.60016778,-85.23882222,633,"Vereker Road, West Kensington",2017-11-05
0J4,Florala Municipal,31.04247361,-86.31156111,633,"Vereker Road, West Kensington",2018-07-03
0J6,Headland Municipal,31.364895,-85.30965556,633,"Vereker Road, West Kensington",2018-07-20
0K7,Humboldt Municipal,42.7360825,-94.24524167,633,"Vereker Road, West Kensington",2019-01-22
0L5,Goldfield,37.71798833,-117.2384119,633,"Vereker Road, West Kensington",2019-02-05
0L7,Jean,35.76827222,-115.3296378,633,"Vereker Road, West Kensington",2019-04-30
0L9,Echo Bay,36.31108972,-114.4638672,633,"Vereker Road, West Kensington",2019-06-28
0M0,Dumas Municipal,33.8845475,-91.53429111,633,"Vereker Road, West Kensington",2019-08-11
0M1,Scott,35.63778,-88.127995,633,"Vereker Road, West Kensington",2020-08-09
0M4,Benton County,36.01122694,-88.12328833,633,"Vereker Road, West Kensington",2020-07-04
0M5,Humphreys County,36.11659972,-87.73815889,633,"Vereker Road, West Kensington",2018-04-19
0M6,Panola County,34.36677444,-89.90008917,633,"Vereker Road, West Kensington",2018-06-20
0M8,Byerley,32.82587917,-91.187665,633,"Vereker Road, West Kensington",2017-03-13
0O3,Calaveras Co-Maury Rasmussen,38.14611639,-120.6481733,633,"Vereker Road, West Kensington",2017-05-03
0O4,Corning Municipal,39.94376806,-122.1713781,633,"Vereker Road, West Kensington",2018-07-01
0O5,University,38.53146222,-121.7864906,633,"Vereker Road, West Kensington",2018-12-06
0Q5,Shelter Cove,40.02764333,-124.0733639,633,"Vereker Road, West Kensington",2020-06-30
0Q6,Shingletown,40.52210111,-121.8177683,633,"Vereker Road, West Kensington",2018-06-30
0R0,Columbia-Marion County,31.29700806,-89.81282944,633,"Vereker Road, West Kensington",2020-02-15
0R1,Atmore Municipal,31.01621528,-87.44675972,633,"Vereker Road, West Kensington",2018-08-27
0R3,Abbeville Chris Crusta Memorial,29.97576083,-92.08415167,633,"Vereker Road, West Kensington",2020-06-11
0R4,Concordia Parish,31.56683278,-91.50011889,633,"Vereker Road, West Kensington",2017-01-26
0R5,David G Joyce,31.96366222,-92.66026056,633,"Vereker Road, West Kensington",2018-01-13
0R7,Red River,31.99071694,-93.30739306,633,"Vereker Road, West Kensington",2019-09-03
